CODIGO	CD_BANCO	VALOR	DIAS_PRIMEIRA_PARCELA	TIPO_CLIENTE	CD_SEXO	QTDE_DIVIDAS_ANTERIORES	CD_CARTEIRA_CLIENTE	IDADE	GRUPO_IDADE_CONTA	ALVO_1_0
1099	B1	90.04	27	NOVO	M	15	G	73	MAIOR OU IGUAL A 15	0
1100	B1	71.77	10	VIP	F	3	G	35	MAIOR OU IGUAL A 15	1
1101	B341	93.36	16	NOVO	F	9	G	39	ENTRE 4 E 9 ANOS	0
1102	B33	100	20	NOVO	F	13	G	33	ENTRE 1 E 2 ANOS	0
1103	B1	28.48	19	EXPERIENTE	F	0	G	47	ENTRE 9 E 14 ANOS	1
1104	B33	99.54	19	NEUTRO	M	14	G	42	ENTRE 4 E 9 ANOS	0
1105	B237	80.68	15	NOVO	F	7	G	32	ENTRE 4 E 9 ANOS	0
1106	B33	100	26	NEUTRO	F	16	G	28	ENTRE 4 E 9 ANOS	0
1107	B341	99.46	14	EXPERIENTE	F	16	G	29	ENTRE 2 E 4 ANOS	0
1108	B341	100	10	NOVO	F	5	G	NULL	ENTRE 1 E 2 ANOS	0
1109	B341	100	26	NOVO	 	6	G	36	ENTRE 4 E 9 ANOS	0
1110	B104	96.75	27	NEUTRO	F	4	G	28	ENTRE 1 E 2 ANOS	0
1111	B341	97.78	27	NOVO	F	7	G	48	ENTRE 4 E 9 ANOS	0
1112	B341	93.81	27	NOVO	F	1	G	34	ENTRE 1 E 2 ANOS	1
1113	B1	99.9	27	NOVO	M	16	G	29	ENTRE 2 E 4 ANOS	0
1114	B1	100	27	NOVO	F	16	G	27	ENTRE 1 E 2 ANOS	0
1115	B341	100	23	NEUTRO	F	1	G	27	ENTRE 1 E 2 ANOS	1
1116	B341	90.07	20	NOVO	F	1	G	26	ATÉ 1 ANO	0
1117	B341	100	28	NOVO	F	1	G	23	ENTRE 1 E 2 ANOS	1
1118	B341	91.98	27	NOVO	F	3	G	25	ENTRE 1 E 2 ANOS	0
1118	B341	91.98	27	NOVO	F	3	G	25	ENTRE 1 E 2 ANOS	0
1119	B399	100	24	NOVO	M	6	G	50	ATÉ 1 ANO	0
1120	B341	100	26	EXPERIENTE	F	1	G	47	MAIOR OU IGUAL A 15	0
1121	B237	100	20	EXPERIENTE	 	0	G	40	MAIOR OU IGUAL A 15	1
1122	B1	92.77	17	NOVO	F	0	G	31	ENTRE 2 E 4 ANOS	0
1123	B237	100	31	NEUTRO	F	0	G	32	ENTRE 1 E 2 ANOS	0
1124	B341	100	21	NOVO	F	16	G	50	MAIOR OU IGUAL A 15	0
1125	B33	100	36	NEUTRO	F	6	G	47	MAIOR OU IGUAL A 15	0
1126	B33	100	26	NOVO	M	16	G	46	ATÉ 1 ANO	0
1127	B1	100	15	NOVO	F	16	G	25	ENTRE 4 E 9 ANOS	0
